Model,Hand,Year,Price,Engine,Kilometers,EngineType,GearBox,Color
טויוטה היילקס ויגו 2X4,1,2008,"60,000₪",2494,"320,000",דיזל,ידנית,אפורמטאלי
פולקסווגן גולף,3,2011,"27,000₪",1390,"215,000",בנזין,אוטומט,לבןמטאלי
פורד פוקוס,2,2008,"8,000₪",1596,"224,000",בנזין,אוטומט,כחולמטאלי
מאזדה 6,2,2013,"44,000₪",1998,"185,000",בנזין,אוטומט,כחולבהירמטאלי
סיאט איביזה,2,2015,"52,000₪",1197,"86,199",בנזין,ידנית,אדום
פורד קוגה,1,2016,"62,000₪",1498,"135,900",בנזין,אוטומט,לבן
ב.מ.וו סדרה 3,3,2018,לאצויןמחיר,1998,"52,000",בנזין,אוטומט,אפורעכבר
טויוטה קורולה,2,2017,"74,000₪",1598,"84,000",בנזין,אוטומט,אפורעכבר
ב.מ.וו Z4,2,2019,"380,000₪",1998,"30,000",בנזין,אוטומט,לבן
סוזוקי SX4,2,2011,"19,000₪",1586,"200,000",בנזין,אוטומט,אפור
סקודה ראפיד,4,2015,"43,000₪",1390,"115,000",בנזין,אוטומט,אפורמטאלי
מרצדס S-Class,2,2008,"105,000₪",5462,"100,000",בנזין,אוטומט,כחולמטאלי
טויוטה פריוס פלוס הייבריד,2,2015,"75,000₪",1798,"265,000",בנזין,אוטומט,כסוף
סקודה סופרב (עד 2019) ,1,2017,"120,000₪",1798,"73,000",בנזין,אוטומט,אפורמטאלי
יונדאי סנטה פה,2,2018,"128,000₪",2359,"103,000",בנזין,אוטומט,לבןשנהב
טויוטה קורולה,2,2015,"65,000₪",1598,"86,500",בנזין,אוטומט,אפורעכבר
קיה קרניבל,1,2017,"145,000₪",3342,"135,000",בנזין,אוטומט,שחור
אלפא רומיאו ג'ולייטה,1,2017,"85,000₪",1368,"70,700",בנזין,אוטומט,לבןמטאלי
ג'יפ / Jeep גרנד צ'ירוקי,1,2019,"240,000₪",3604,"18,000",בנזין,אוטומט,לבן
ב.מ.וו סדרה 1,1,2022,"208,000₪",1499,,בנזין,אוטומט,שחור
סובארו פורסטר,2,2016,"88,000₪",1995,"127,000",בנזין,אוטומט,כסוףמטאלי
מרצדס S-Class,1,2021,"650,000₪",2925,"27,810",טורבודיזל,אוטומט,שחור
קיה ספורטז',5,2008,"27,000₪",2656,"189,000",בנזין,אוטומט,שחור
וולוו XC60,0,2021,1586₪לחודש,1969,,היברידיחשמל/בנזין,אוטומט,לבן
פורד פוקוס,1,2013,"19,500₪",1596,"189,000",בנזין,אוטומט,אפור
יונדאי איוניק,1,2018,"78,280₪",1600,,,,
סיטרואן ג'אמפי קצר/בינוני,1,2017,1₪לחודש,1997,"289,000",דיזל,אוטומט,לבן
לקסוס IS300h,2,2014,"79,900₪",2494,"216,652",היברידיחשמל/בנזין,אוטומט,אפור
טויוטה RAV4 הייבריד,1,2019,"197,000₪",2487,"50,000",בנזין,אוטומט,לבןמטאלי
אלפא רומיאו מיטו / MITO,2,2016,"67,095₪",1368,"99,375",בנזין,אוטומט,לבן
יונדאי טוסון,2,2018,"129,900₪",1591,"69,000",בנזין,אוטומט,בז'מטאלי
סקודה סופרב (2019 ואילך),0,2021,1026₪לחודש,1395,,היברידיחשמל/בנזין,אוטומט,כסוףמטאלי
ניסאן קשקאי,1,2019,לאצויןמחיר,1461,"70,000",דיזל,אוטומט,שחורמטאלי
ניסאן מיקרה,1,2019,לאצויןמחיר,1198,"27,700",בנזין,אוטומט,לבן
סקודה ראפיד,2,2018,"58,800₪",999,"106,000",בנזין,אוטומט,לבן
פורשה פאנאמרה,1,2020,"705,000₪",2894,,,,
